,Open,High,Low,Close,Volume,Unix Time
0,2969978,2973208,2948000,2951852,14.5118,1609459200000
1,2952124,2963828,2950938,2962800,9.4451,1609460100000
2,2962800,2969000,2962800,2969000,5.6096,1609461000000
3,2968990,2976000,2966001,2974047,12.2984,1609461900000
4,2973021,2993000,2970999,2993000,44.1023,1609462800000
5,2993000,2993751,2986990,2993749,29.0955,1609463700000
6,2993999,2995653,2989005,2992996,29.1655,1609464600000
7,2992209,2995000,2990715,2995000,12.6997,1609465500000
8,2994999,2998003,2986990,2987525,23.0534,1609466400000
9,2987525,2999193,2987525,2995002,16.5905,1609467300000
10,2995001,2995250,2980857,2994958,17.2361,1609468200000
11,2993146,2997375,2986978,2988496,17.6002,1609469100000
12,2988496,2996326,2988496,2996325,6.0789,1609470000000
13,2996325,2996326,2987500,2990019,9.6013,1609470900000
14,2991007,2998500,2991006,2996001,9.2130,1609471800000
15,2996002,2996005,2993333,2994971,5.7526,1609472700000
16,2994971,2999999,2993479,2996626,25.2299,1609473600000
17,2996998,3000000,2994263,2996151,31.1524,1609474500000
18,2996001,3000000,2977421,2984006,27.9149,1609475400000
19,2984006,2992353,2984005,2990041,8.9677,1609476300000
20,2989010,2990041,2978521,2979998,10.7254,1609477200000
21,2979998,2988000,2971412,2984193,18.8957,1609478100000
22,2984192,2986474,2976179,2983402,8.7004,1609479000000
23,2983396,2983500,2977409,2983500,4.7798,1609479900000
24,2983498,2990000,2982774,2986001,6.9530,1609480800000
25,2986001,2986007,2960585,2972998,16.8291,1609481700000
26,2972991,2983005,2969015,2980953,16.9021,1609482600000
27,2980953,2981002,2975660,2979990,5.5940,1609483500000
28,2979989,2982003,2960000,2966984,20.2891,1609484400000
29,2965001,2971116,2963015,2969732,6.8398,1609485300000
30,2969729,2975045,2969136,2974989,4.6339,1609486200000
31,2975000,2978019,2972188,2978003,5.8284,1609487100000
32,2978004,2982846,2973097,2973097,9.1963,1609488000000
33,2973005,2976382,2965827,2976382,7.6709,1609488900000
34,2976382,2981009,2971023,2971023,10.5002,1609489800000
35,2971023,2978008,2969400,2975008,5.6707,1609490700000
36,2974738,2985867,2972794,2984843,6.2701,1609491600000
37,2984843,2994944,2984009,2994401,18.2146,1609492500000
38,2994401,3000000,2994401,2995285,28.3725,1609493400000
39,2994406,2996104,2990696,2992002,7.4204,1609494300000
40,2992002,3000000,2992002,2997394,22.3601,1609495200000
41,2997533,3001858,2990631,2992992,39.6943,1609496100000
42,2993783,3000029,2989449,2997010,16.4806,1609497000000
43,2997010,2998684,2992200,2994001,9.1371,1609497900000
44,2993781,3001788,2993781,3000508,11.0326,1609498800000
45,3000674,3005367,2996227,3004250,18.1096,1609499700000
46,3004250,3010948,3000000,3001011,30.2858,1609500600000
47,3001027,3003000,3000978,3002999,4.2166,1609501500000
48,3003000,3003500,2994004,3001062,15.0896,1609502400000
49,3000999,3020000,3000201,3015994,34.3461,1609503300000
50,3015994,3032000,3015993,3028974,66.2951,1609504200000
51,3028968,3028968,3000000,3006001,44.1491,1609505100000
52,3006000,3022278,3005005,3020199,30.4095,1609506000000
53,3022001,3023433,3015001,3019002,11.7285,1609506900000
54,3019003,3021000,3016980,3018002,6.2595,1609507800000
55,3018002,3025262,3018002,3023999,12.8730,1609508700000
56,3024000,3031001,3015006,3026288,23.2370,1609509600000
57,3026288,3026288,3020353,3023339,7.3809,1609510500000
58,3023339,3024347,3017345,3022848,10.4978,1609511400000
59,3022782,3022782,3012888,3014005,9.9778,1609512300000
60,3014006,3019975,3010000,3016987,7.9204,1609513200000
61,3016514,3017502,3008184,3011772,6.1891,1609514100000
62,3011437,3011438,2993465,2999999,25.5613,1609515000000
63,2999999,3007039,2999989,3001011,12.3076,1609515900000
64,3001012,3007627,2997009,3004680,5.0710,1609516800000
65,3004680,3012684,3004418,3009601,6.7885,1609517700000
66,3009259,3011763,3008127,3009667,2.8974,1609518600000
67,3010548,3015419,3008850,3009004,7.3268,1609519500000
68,3010004,3011086,3007503,3010000,1.6711,1609520400000
69,3010000,3011111,3003000,3007999,6.7371,1609521300000
