,Open,High,Low,Close,Volume,Unix Time
0,2969978,2976000,2948000,2974047,41.8649,1609459200000
1,2973021,2995653,2970999,2995000,115.0630,1609462800000
2,2994999,2999193,2980857,2988496,74.4802,1609466400000
3,2988496,2998500,2987500,2994971,30.6458,1609470000000
4,2994971,3000000,2977421,2990041,93.2649,1609473600000
5,2989010,2990041,2971412,2983500,43.1013,1609477200000
6,2983498,2990000,2960585,2979990,46.2782,1609480800000
7,2979989,2982003,2960000,2978003,37.5912,1609484400000
8,2978004,2982846,2965827,2975008,33.0381,1609488000000
9,2974738,3000000,2972794,2992002,60.2776,1609491600000
10,2992002,3001858,2989449,2994001,87.6721,1609495200000
11,2993781,3010948,2993781,3002999,63.6446,1609498800000
12,3003000,3032000,2994004,3006001,159.8799,1609502400000
13,3006000,3025262,3005005,3023999,61.2705,1609506000000
14,3024000,3031001,3012888,3014005,51.0935,1609509600000
15,3014006,3019975,2993465,3001011,51.9784,1609513200000
16,3001012,3015419,2997009,3009004,22.0837,1609516800000
17,3010004,3011111,2980101,2991005,24.9464,1609520400000
18,2990005,3009994,2960000,2991975,47.6830,1609524000000
19,2991970,2995000,2981048,2987978,14.0099,1609527600000
20,2987986,3010000,2973827,3005405,23.9608,1609531200000
21,3005404,3008673,2996033,2996033,20.8623,1609534800000
22,2997987,3010000,2992635,3006004,10.5432,1609538400000
23,3006603,3013895,3004993,3013895,15.9148,1609542000000
24,3013895,3013895,2987999,3007408,43.7834,1609545600000
25,3007409,3019784,2999500,3017223,37.6909,1609549200000
26,3017222,3023000,3012973,3013632,25.1703,1609552800000
27,3014443,3018209,3011740,3018172,20.4666,1609556400000
28,3018209,3019896,3008256,3017336,19.8423,1609560000000
29,3017336,3030000,3017336,3029999,45.8363,1609563600000
30,3029999,3044000,3021985,3044000,72.1506,1609567200000
31,3043999,3060000,3039999,3055651,87.5822,1609570800000
32,3055564,3067787,3046000,3067787,85.5535,1609574400000
33,3067786,3071208,3045282,3047183,88.1083,1609578000000
34,3047351,3065000,3034698,3050002,52.4160,1609581600000
35,3050255,3058005,3046971,3056277,28.4807,1609585200000
36,3056976,3176983,3055536,3144191,379.2391,1609588800000
37,3144003,3240000,3135335,3240000,395.9481,1609592400000
38,3241457,3245897,3180020,3213586,227.6596,1609596000000
39,3214976,3253344,3200000,3251872,135.5789,1609599600000
40,3251869,3397265,3251869,3338000,535.2122,1609603200000
41,3338000,3388389,3328062,3380776,155.6656,1609606800000
42,3380774,3400000,3335214,3382957,110.0614,1609610400000
43,3382956,3396000,3360000,3385016,57.1840,1609614000000
44,3385015,3387213,3155000,3160863,252.8067,1609617600000
45,3160862,3278329,3132000,3256775,265.9863,1609621200000
46,3256776,3325006,3231848,3312513,109.8241,1609624800000
47,3312513,3318819,3260000,3316708,117.2554,1609628400000
48,3316705,3343873,3296338,3343000,103.3621,1609632000000
49,3342009,3378999,3323001,3360005,109.5281,1609635600000
50,3358236,3379728,3356601,3365773,79.9810,1609639200000
51,3365772,3365773,3325000,3347887,94.4054,1609642800000
52,3349255,3400000,3334885,3400000,100.2265,1609646400000
53,3400000,3500000,3390341,3469631,362.4543,1609650000000
54,3469626,3498000,3457041,3491499,109.1389,1609653600000
55,3491498,3583999,3474531,3553664,349.9201,1609657200000
56,3553665,3569737,3483556,3542373,255.7317,1609660800000
57,3543948,3557000,3488300,3519789,165.7421,1609664400000
58,3519790,3534468,3427150,3487600,188.7911,1609668000000
59,3487600,3540001,3480000,3540001,124.4281,1609671600000
60,3540000,3556001,3492275,3505289,121.7439,1609675200000
61,3506797,3533384,3480000,3483050,133.4202,1609678800000
62,3483050,3508963,3427003,3477157,158.9981,1609682400000
63,3481145,3482268,3350000,3451151,263.2190,1609686000000
64,3451151,3485138,3352121,3358118,129.6387,1609689600000
65,3358119,3407253,3322000,3375101,128.9917,1609693200000
66,3377032,3385001,3303304,3355625,67.1907,1609696800000
67,3351880,3381160,3324000,3350500,46.1635,1609700400000
68,3350500,3475247,3350022,3461797,66.2747,1609704000000
69,3466147,3473439,3444183,3446841,36.1385,1609707600000
70,3446841,3450963,3389792,3398957,89.8531,1609711200000
71,3398948,3455000,3376126,3406033,131.2922,1609714800000
72,3406034,3415002,3342823,3380270,103.5207,1609718400000
73,3381706,3433084,3360000,3415576,86.3840,1609722000000
74,3415575,3455926,3396168,3444428,76.7304,1609725600000
75,3444427,3449500,3414675,3449500,73.6759,1609729200000
76,3449499,3459450,3430000,3431319,80.2091,1609732800000
77,3430823,3440000,3390000,3391584,117.7073,1609736400000
78,3391504,3448483,3391502,3428556,134.6015,1609740000000
79,3428909,3432381,3280000,3302487,390.3190,1609743600000
80,3302485,3351597,3200001,3284988,248.9151,1609747200000
81,3284989,3292998,3060000,3191285,576.8788,1609750800000
82,3191287,3216309,2850000,3117009,1134.6926,1609754400000
83,3117009,3174784,3006305,3165222,373.8239,1609758000000
84,3165219,3247000,3132006,3222839,359.3487,1609761600000
85,3222843,3225000,3150000,3225000,216.9081,1609765200000
86,3225000,3320000,3225000,3315090,182.6765,1609768800000
87,3315623,3325000,3257921,3274497,160.1353,1609772400000
88,3274485,3288187,3160001,3224580,132.6104,1609776000000
89,3227633,3243573,3154169,3189320,57.8191,1609779600000
90,3190998,3227327,3186266,3202869,24.8329,1609783200000
91,3202867,3268921,3198760,3251794,26.5957,1609786800000
92,3251793,3265097,3204392,3208680,19.9397,1609790400000
93,3208674,3235569,3162272,3183400,33.4224,1609794000000
94,3183220,3224999,3174676,3215970,34.8789,1609797600000
95,3215969,3290000,3193221,3289992,54.1585,1609801200000
96,3290000,3384998,3290000,3335850,161.3672,1609804800000
97,3335850,3346030,3335850,3340983,1.1361,1609808400000
98,3346659,3350550,3300000,3328965,44.9389,1609812000000
99,3330111,3350000,3206210,3212006,136.1303,1609815600000
100,3215723,3247996,3136001,3181667,153.9245,1609819200000
101,3181654,3228153,3090001,3131697,157.2799,1609822800000
102,3134492,3214470,3080000,3203773,145.5228,1609826400000
103,3200685,3219996,3164000,3167332,48.1778,1609830000000
104,3167907,3239492,3167907,3209104,61.5567,1609833600000
105,3210979,3269998,3207178,3240000,67.2151,1609837200000
106,3240000,3251963,3179606,3217116,164.4651,1609840800000
107,3217117,3260000,3214823,3259999,72.7960,1609844400000
108,3260000,3290000,3245000,3245106,79.3548,1609848000000
109,3245107,3274667,3231998,3233223,45.4609,1609851600000
110,3233223,3313843,3200500,3313155,124.2784,1609855200000
111,3313156,3313844,3275000,3285023,103.0322,1609858800000
112,3287253,3340001,3258961,3321028,78.0013,1609862400000
113,3322171,3350000,3301837,3346905,60.4178,1609866000000
114,3348000,3399000,3333980,3398865,51.7242,1609869600000
115,3398945,3481000,3379999,3435324,111.0098,1609873200000
116,3438617,3482706,3400000,3473498,74.5887,1609876800000
117,3476528,3476528,3420371,3445891,77.3156,1609880400000
118,3445891,3515100,3445891,3493451,130.7121,1609884000000
119,3493435,3497576,3445890,3471352,76.5544,1609887600000
120,3472000,3484868,3412000,3464112,70.4250,1609891200000
121,3464119,3469999,3428787,3452774,50.7053,1609894800000
122,3451000,3490000,3451000,3468899,59.4850,1609898400000
123,3469848,3497998,3455033,3497998,54.6630,1609902000000
124,3497978,3662544,3492083,3627270,370.5924,1609905600000
125,3627349,3649999,3550062,3592000,138.4172,1609909200000
126,3595000,3619192,3579445,3610003,74.0566,1609912800000
127,3610454,3620824,3528484,3558114,91.4783,1609916400000
128,3559977,3587650,3480000,3549097,92.7307,1609920000000
129,3549097,3549097,3450001,3483012,148.4658,1609923600000
130,3483013,3549999,3480000,3538611,67.2905,1609927200000
131,3538612,3614303,3531543,3583658,143.1464,1609930800000
132,3583658,3591677,3536426,3582632,119.9810,1609934400000
133,3582814,3594818,3528000,3553441,85.2796,1609938000000
134,3554419,3568647,3510000,3527970,97.5775,1609941600000
135,3528000,3585439,3522286,3568294,43.4193,1609945200000
136,3569261,3610000,3544000,3565406,88.9919,1609948800000
137,3565405,3606859,3561028,3588219,32.5905,1609952400000
138,3588220,3617234,3588220,3615048,38.9114,1609956000000
139,3615408,3665004,3570000,3583987,80.3498,1609959600000
140,3583989,3709870,3530104,3693368,143.4081,1609963200000
141,3696809,3723810,3660000,3677672,75.2865,1609966800000
142,3678811,3730000,3664062,3703007,68.3322,1609970400000
143,3704138,3799000,3703003,3791657,124.7593,1609974000000
144,3793144,3841000,3750000,3830005,202.8752,1609977600000
145,3830005,3836627,3785000,3805648,88.9064,1609981200000
146,3805750,3821291,3750000,3812552,76.3660,1609984800000
147,3812541,3890000,3810368,3869999,155.2853,1609988400000
148,3870000,3876184,3833333,3867073,84.9083,1609992000000
149,3867066,3890000,3844664,3862724,68.2809,1609995600000
150,3862993,3873943,3800000,3845001,96.6058,1609999200000
151,3845000,3859979,3802499,3815734,69.2838,1610002800000
152,3816942,3857719,3756865,3847849,132.1680,1610006400000
153,3847045,3880000,3819664,3879999,55.8485,1610010000000
154,3879999,3879999,3827247,3835003,68.4823,1610013600000
155,3835001,3923327,3835001,3915018,102.5013,1610017200000
156,3915019,3950000,3896703,3936744,198.9711,1610020800000
157,3934500,3985575,3928312,3955589,173.0264,1610024400000
